Investor_Id,first,IT,early,year
42202-18,1,1,1,1995
42205-24,1,1,1,1995
42205-42,1,1,1,1995
42349-87,1,0,1,1995
42365-62,0,0,0,1995
42739-75,0,0,0,1995
42767-20,1,0,1,1995
42871-51,0,1,0,1995
42909-13,0,0,0,1995
44459-02,1,0,1,1995
49309-12,1,0,0,1995
51036-49,0,0,1,1995
51050-17,0,1,0,1995
51077-44,1,0,1,1995
51090-58,0,1,0,1995
51106-87,1,0,1,1995
51106-96,0,0,1,1995
51131-71,1,1,0,1995
51216-04,0,1,1,1995
51516-10,0,0,1,1995
51599-53,1,0,1,1995
51638-05,1,0,1,1995
51669-64,1,0,1,1995
51702-67,1,0,1,1995
51709-96,0,1,0,1995
51747-13,0,0,0,1995
52116-76,1,0,1,1995
52166-62,1,0,1,1995
52225-66,0,0,0,1995
52244-38,1,1,1,1995
52291-90,1,0,0,1995
52369-93,1,1,0,1995
52385-59,0,0,0,1995
52386-40,0,0,0,1995
52744-87,1,0,0,1995
52745-05,1,0,0,1995
52758-10,0,0,1,1995
52765-57,0,0,0,1995
53317-90,1,0,1,1995
53402-68,1,0,1,1995
53450-56,0,0,0,1995
53468-29,1,0,1,1995
53991-55,1,1,1,1995
54334-18,0,0,1,1995
54858-79,1,0,1,1995
55430-29,1,1,1,1995
55763-56,1,0,0,1995
55787-23,1,1,0,1995
56226-79,1,0,0,1995
56255-86,1,0,0,1995
56503-00,1,0,0,1995
57314-80,1,0,1,1995
57405-97,1,0,0,1995
58463-56,1,0,1,1995
58910-86,1,0,0,1995
60293-62,1,0,1,1995
62013-97,0,0,0,1995
63967-15,0,1,1,1995
64689-67,0,0,0,1995
83336-23,0,0,1,1995
85493-26,1,1,1,1995
89936-74,1,0,1,1995
95663-89,1,0,1,1995
98013-52,1,0,1,1995
98783-56,0,1,0,1995
10020-07,1,0,0,1996
10022-14,0,0,0,1996
10052-20,1,1,1,1996
10068-04,0,0,0,1996
10070-83,0,0,1,1996
10077-85,1,1,0,1996
10133-20,0,0,1,1996
10134-73,1,0,1,1996
10135-81,0,1,0,1996
10139-41,0,1,1,1996
10146-16,0,1,1,1996
10181-17,0,1,1,1996
10195-75,0,0,0,1996
10241-02,1,0,1,1996
10242-91,1,0,0,1996
10271-98,0,1,0,1996
10335-25,1,1,1,1996
10367-47,1,0,1,1996
10401-94,0,0,1,1996
10420-66,1,0,1,1996
10446-40,0,0,0,1996
10458-73,1,1,1,1996
10521-46,0,0,0,1996
10602-46,1,0,0,1996
10639-63,1,0,1,1996
10754-47,1,0,0,1996
107903-44,0,0,1,1996
10883-44,1,0,0,1996
10985-23,1,0,0,1996
11105-29,0,0,0,1996
11106-82,0,0,1,1996
11108-89,0,0,0,1996
11110-15,0,1,1,1996
11110-33,1,1,1,1996
11110-42,1,0,0,1996
11110-69,1,1,0,1996
11110-87,1,0,0,1996
11111-68,0,0,1,1996
11111-86,0,0,1,1996
11114-11,1,0,1,1996
11115-19,1,0,1,1996
11115-28,1,0,0,1996
11118-79,0,1,0,1996
11120-59,0,0,1,1996
11121-76,1,0,1,1996
11121-85,1,0,0,1996
11122-12,1,0,1,1996
11122-30,1,1,1,1996
11122-48,1,1,1,1996
11123-20,1,1,1,1996
11123-38,0,1,0,1996
11124-28,1,1,1,1996
11124-46,0,1,0,1996
11126-89,1,0,1,1996
11127-25,1,1,0,1996
11127-79,0,0,0,1996
11127-88,0,1,0,1996
