Investor_Id,hhi,year
11308-69,0.28,1998
11312-29,0.5555555555555556,1998
11312-92,1,1998
11313-01,1,1998
11313-46,1,1998
11314-99,1,1998
11316-79,0.625,1998
11317-42,0.625,1998
11318-77,0.20000000000000004,1998
11318-86,1,1998
11319-67,1,1998
11320-66,0.28,1998
11322-28,0.44,1998
11322-46,0.5,1998
11322-91,1,1998
11324-26,1,1998
11324-80,1,1998
11325-43,0.5,1998
11325-61,0.5,1998
11325-79,1,1998
11326-24,0.5,1998
11326-33,0.10000000000000003,1998
11327-32,1,1998
11327-41,1,1998
11328-13,1,1998
11328-49,0.5,1998
11328-67,1,1998
11328-76,1,1998
11331-28,0.5,1998
11331-37,0.3333333333333333,1998
11331-91,1,1998
11333-26,0.3333333333333333,1998
11335-42,0.2222222222222222,1998
11336-32,0.3333333333333333,1998
11336-77,0.5555555555555556,1998
11337-76,1,1998
11338-03,0.5,1998
11338-12,0.2222222222222222,1998
11338-93,1,1998
11340-01,0.625,1998
11410-66,1,1998
11605-96,1,1998
11851-57,0.28,1998
11851-66,1,1998
11867-23,0.21875,1998
12075-22,0.20000000000000004,1998
123123-88,1,1998
12604-06,1,1998
12604-33,1,1998
12749-50,1,1998
151294-06,1,1998
179240-41,1,1998
25163-83,1,1998
25197-58,1,1998
39894-31,1,1998
40425-49,1,1998
40443-13,1,1998
40445-56,1,1998
40668-76,1,1998
40849-84,0.52,1998
40995-55,1,1998
40998-97,0.3333333333333333,1998
41001-49,1,1998
41003-11,0.5,1998
41009-95,1,1998
41012-11,0.5,1998
41014-54,1,1998
41017-06,1,1998
41020-03,1,1998
41699-53,0.5555555555555556,1998
42134-05,1,1998
42202-18,1,1998
42205-24,1,1998
42205-42,1,1998
42246-73,1,1998
42259-24,0.5,1998
42259-87,1,1998
42344-47,1,1998
42348-97,1,1998
42349-87,0.5,1998
42739-75,0.3333333333333333,1998
42767-02,1,1998
42767-20,0.5555555555555556,1998
42775-48,0.5,1998
42841-27,1,1998
42852-25,1,1998
42871-51,0.5,1998
42944-05,1,1998
42955-30,1,1998
43064-47,0.5,1998
43133-95,0.3333333333333333,1998
43140-61,0.5,1998
44459-02,1,1998
49310-02,1,1998
50987-98,1,1998
50993-92,0.5,1998
51016-78,0.5555555555555556,1998
51041-26,1,1998
51050-17,0.3333333333333333,1998
51063-31,1,1998
51077-44,0.5555555555555556,1998
51090-58,1,1998
51095-17,1,1998
51095-26,0.5555555555555556,1998
51106-96,0.5,1998
51131-71,0.3333333333333333,1998
51187-33,1,1998
51191-65,1,1998
51216-04,0.5,1998
51219-01,1,1998
51257-26,1,1998
51288-13,1,1998
51288-22,1,1998
51410-17,1,1998
51438-79,1,1998
51464-98,1,1998
51478-39,1,1998
51490-72,1,1998
51491-98,1,1998
51516-10,1,1998
51518-53,1,1998
51567-58,1,1998
51634-00,1,1998
51638-05,0.5555555555555556,1998
51702-67,1,1998
51721-12,1,1998
51747-13,1,1998
52225-66,1,1998
52244-38,1,1998
52272-28,1,1998
52282-99,1,1998
52291-90,1,1998
52364-53,1,1998
52369-93,1,1998
52372-18,1,1998
52385-59,0.5555555555555556,1998
52589-98,1,1998
52593-04,1,1998
52705-81,1,1998
52744-87,1,1998
52745-05,0.625,1998
52758-10,1,1998
52765-57,0.5,1998
52794-10,1,1998
52833-25,1,1998
52833-34,1,1998
53279-74,1,1998
53402-68,1,1998
53404-57,1,1998
53455-15,1,1998
53460-37,1,1998
53468-29,0.5,1998
53593-03,1,1998
53822-89,1,1998
53928-19,1,1998
54084-97,1,1998
54096-49,1,1998
54183-52,1,1998
54334-18,1,1998
54345-25,1,1998
55138-96,1,1998
55430-29,1,1998
55681-57,1,1998
55699-12,1,1998
55858-33,1,1998
55893-43,1,1998
55943-38,1,1998
56040-94,1,1998
56142-55,1,1998
56386-27,1,1998
56599-57,1,1998
56660-77,1,1998
56682-64,1,1998
57103-39,1,1998
57697-12,1,1998
58578-13,1,1998
58804-66,1,1998
59193-73,1,1998
59902-84,1,1998
60708-61,1,1998
61317-19,1,1998
62483-86,1,1998
63967-15,0.5,1998
64689-67,0.25,1998
83336-23,1,1998
95663-89,1,1998
98783-56,0.5,1998
10020-07,1,1999
10022-14,0.5,1999
10052-20,0.15702479338842976,1999
10068-04,0.375,1999
10070-83,0.05478451424397372,1999
100761-31,1,1999
10077-85,1,1999
10109-26,0.25,1999
10133-20,0.25,1999
10134-73,0.11570247933884292,1999
10135-81,0.5555555555555556,1999
10139-41,0.0817263544536272,1999
10146-16,0.30578512396694213,1999
10181-17,0.22448979591836732,1999
10195-75,0.5,1999
10215-64,1,1999
10228-51,1,1999
10230-94,1,1999
10241-02,0.15702479338842973,1999
10242-91,1,1999
10271-98,0.09259259259259259,1999
10335-25,1,1999
10346-14,1,1999
10357-03,1,1999
10367-47,1,1999
10381-24,1,1999
10411-93,0.5,1999
10446-40,0.10204081632653061,1999
10458-73,0.6800000000000002,1999
10521-46,0.1875,1999
10602-46,1,1999
10639-63,0.5,1999
10836-19,1,1999
10905-04,0.5,1999
110861-11,1,1999
